
Sun,,,,,,,,,,Equatorial Inclination to Orbit,Mean Radius,Equatorial Circumference,Volume,Mass,Density,Surface Area,Surface Gravity,Escape Velocity,Sidereal Rotation Period (Length of Day),Minimum/Maximum Surface Temperature,Effective Temperature,Atmospheric Constituents,Date of Discovery,Discovered By
,Sun,,,,,,,,,,7.25 with respect to the ecliptic,"695,508 km","4,370,005.6 km","1,409,272,569,059,860,000 km3","1,989,100,000,000,000,000,000,000,000,000 kg",1.409 g/cm3,"6,078,747,774,547 km2",274.0 m/s2,"2,223,720 km/h","25.38 Earth days
609.12 hours","5,500 °C",5504 °C,,Unknown,Known by the Ancients,

Planets,,Orbit Size Around Sun (semi-major axis),Perihelion (closest),Aphelion (farthest),Sidereal Orbit Period (Length of Year),Orbit Circumference,Average Orbit Velocity,Orbit Eccentricity,Orbit Inclination,Equatorial Inclination to Orbit,Mean Radius,Equatorial Circumference,Volume,Mass,Density,Surface Area,Surface Gravity,Escape Velocity,Sidereal Rotation Period (Length of Day),Minimum/Maximum Surface Temperature,Effective Temperature,Atmospheric Constituents,Date of Discovery,Discovered By

Mercury,,"57,909,227 km","46,001,009 km","69,817,445 km","0.2408467 Earth years
87.97 Earth days","359,976,856 km","170,503 km/h",0.20563593,7.0 degrees,0 degrees,"2,439.7 km","15,329.1 km","60,827,208,742 km3","330,104,000,000,000,000,000,000 kg",5.427 g/cm3,"74,797,000 km2",3.7 m/s2,"15,300 km/h","58.646 Earth days
1407.5 hours",-173/427 °C,,?,Unknown,Known by the Ancients

Venus,,"108,209,475 km","107,476,170 km","108,942,780 km","0.61519726 Earth years
224.70 Earth days","679,892,378 km","126,074 km/h",0.00677672,3.39 degrees,177.3 degrees (retrograde rotation),"6,051.8 km","38,024.6 km","928,415,345,893 km3","4,867,320,000,000,000,000,000,000 kg",5.243 g/cm3,"460,234,317 km2",8.87 m/s2,"37,296 km/h","-243.018 Earth days (retrograde) -5832.4 hours (retrograde)",462 °C,,"Carbon Dioxide, Nitrogen",Unknown,Known by the Ancients

Earth,,"149,598,262 km","147,098,291 km","152,098,233 km","1.0000174 Earth years
365.26 Earth days","939,887,974 km","107,218 km/h",0.01671123,0.00005 degrees,23.4393 degrees,"6,371.00 km","40,030.2 km","1,083,206,916,846 km3","5,972,190,000,000,000,000,000,000 kg",5.513 g/cm3,"510,064,472 km2",9.80665 m/s2,"40,284 km/h","0.99726968 Earth days 23.934 hours",-1.517241379,,"Nitrogen, Oxygen",Unknown,Known by the Ancients

Mars,,"227,943,824 km","206,655,215 km","249,232,432 km","1.8808476 Earth years
686.98 Earth days","1,429,085,052 km","86,677 km/h",0.0933941,1.85 degrees,25.2 degrees,"3,389.5 km","21,296.9 km","163,115,609,799 km3","641,693,000,000,000,000,000,000 kg",3.934 g/cm3,"144,371,391 km2",3.71 m/s2,"18,108 km/h","1.026 Earth days
24.623 hours",-87 to -5 °C,,"Carbon Dioxide, Nitrogen, Argon",Unknown,Known by the Ancients

Jupiter,,"778,340,821 km","740,679,835 km","816,001,807 km","11.862615 Earth years
4,332.82 Earth days","4,887,595,931 km","47,002 km/h",0.04838624,1.304 degrees,3.1 degrees,"69,911 km","439,263.8 km","1,431,281,810,739,360 km3","1,898,130,000,000,000,000,000,000,000 kg",1.326 g/cm3,"61,418,738,571 km2",24.79 m/s2,"216,720 km/h","0.41354 Earth days 9.92496 hours",,-148 °C,"Hydrogen, Helium",Unknown,Known by the Ancients

Saturn,,"1,426,666,422 km","1,349,823,615 km","1,503,509,229 km","29.447498 Earth years
10,755.70 Earth days","8,957,504,604 km","34,701 km/h",0.05386179,2.49 degrees,26.7 degrees,"58,232 km","365,882.4 km","827,129,915,150,897 km3","568,319,000,000,000,000,000,000,000 k",0.687 g/cm3,"42,612,133,285 km2",10.4* m/s2,"129,924 km/h","0.444 Earth days 10.656 hours",,-178 °C,"Hydrogen, Helium",Unknown,Known by the Ancients

Uranus,,"2,870,658,186 km","2,734,998,229 km","3,006,318,143 km","84.016846 Earth years
30,687.15 Earth days","18,026,802,831 km","24,477 km/h",0.04725744,0.77 degrees,97.8 degrees (retrograde rotation),"25,362 km","159,354.1 km","68,334,355,695,584 km3","86,810,300,000,000,000,000,000,000 kg",1.270 g/cm3," 8,083,079,690 km2", 8.87 m/s2," 76,968 km/h","-0.718 Earth days (retrograde) -17.23992 hours (retrograde)",,-216 °C,"Hydrogen, Helium, Methane",13 Mar. 1781,William Herschel

